,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Super Group View,,,,,,,,,,,,,,,
Go back to report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"4 Facts of MINERAL WATER (FLAVOURED), ALL BRAND, ALL ITEM in Engen - (FMCG), SA Scan FC - (FMCG) during Latest 52 Wks - w/e 29/09/24",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Sales Value,Sales Value,Sales Value % Chg YA,Sales Value % Chg YA,Share of Trade in Sales Value - Market,Share of Trade in Sales Value - Market,Share of Trade in Sales Value Chg YA - Market,Share of Trade in Sales Value Chg YA - Market,,,,,
CATEGORY,BRAND,ITEM,Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED APPLE 330 ML 1,R306,R306,(63.5)%,(63.5)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED STRAWBERRY 330 ML 1,R306,R306,(66.2)%,(66.2)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED APPLE 1500 ML 1,R246,"R1,008,211",(93.1)%,22.0%,0.0%,100.0%,(0.4),0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED NAARTJIE 330 ML 1,R224,R224,(73.8)%,(73.8)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED STRAWBERRY & WATERMELON 502.80 ML 1,R133,"R8,246",,8.9%,1.6%,100.0%,1.6,0.0,,,,,
MINERAL WATER (FLAVOURED),OASIS (OASIS WATER),OASIS CARBONATED STRAWBERRY 500 ML 1,R70,"R18,668",,(2.8)%,0.4%,100.0%,0.4,0.0,,,,,
MINERAL WATER (FLAVOURED),VACHERON,VACHERON NOT CARBONATED TROPICAL 500 ML 1,R66,R66,(36.0)%,(36.0)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),OASIS (OASIS WATER),OASIS CARBONATED NAARTJIE 500 ML 1,R60,"R3,950",,(77.6)%,1.5%,100.0%,1.5,0.0,,,,,
MINERAL WATER (FLAVOURED),OASIS (OASIS WATER),OASIS CARBONATED LITCHI 500 ML 1,R40,"R3,542",,(66.0)%,1.1%,100.0%,1.1,0.0,,,,,
MINERAL WATER (FLAVOURED),TURBOVITE,TURBOVITE CARBONATED COCOGRAPE 500 ML 1,R36,R110,(80.0)%,(85.0)%,32.1%,100.0%,8.0,0.0,,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,,R35,"R1,132,591",75.9%,(10.0)%,0.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,GLACEAU VITAMINWATER NOT CARBONATED DRAGONFRUIT 500 ML 1,R18,"R368,049",,(5.1)%,0.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,GLACEAU VITAMINWATER NOT CARBONATED FRUIT PUNCH 500 ML 1,R17,R17,,,100.0%,100.0%,100.0,100.0,,,,,
MINERAL WATER (FLAVOURED),WATERBERG,WATERBERG CARBONATED GINGER BEER 500 ML 1,R15,R15,,,100.0%,100.0%,100.0,100.0,,,,,
MINERAL WATER (FLAVOURED),A1 (A1),,,"R35,009",,(49.0)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),A1 (A1),A1 CARBONATED MANDARIN 300 ML 1,,"R35,009",,(49.0)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUA KIDZ,,,"R9,033",,(31.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUA KIDZ,AQUA KIDZ NOT CARBONATED STRAWBERRY & BANANA 246 ML 1,,"R9,033",,(31.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUA RUSH (AQUA RUSH),,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),AQUA RUSH (AQUA RUSH),AQUA RUSH NOT CARBONATED 500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),AQUAFRIA,,,"R41,545",,950.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUAFRIA,AQUAFRIA NOT CARBONATED APPLE & MINT 500 ML 1,,"R12,200",,"1,078.7%",,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUAFRIA,AQUAFRIA NOT CARBONATED LEMON & LIME 500 ML 1,,"R10,415",,979.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUAFRIA,AQUAFRIA NOT CARBONATED RASPBERRY 500 ML 1,,"R18,930",,868.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUARTZ (CLOVER),AQUARTZ CARBONATED PEACH & PASSION FRUIT 500 ML 1,,"R7,890",,(2.7)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED APPLE 500 ML 6,,R728,,35.8%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED GRANADILLA 500 ML 6,,R200,,(50.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED LEMON 500 ML 6,,R64,,(80.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED LITCHI 500 ML 6,,R392,,39.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED NAARTJIE 500 ML 6,,R456,,(32.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED PEACH 1500 ML 1,,"R1,269",,700.8%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED PEACH 500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
